Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Therapeutic Advances in Medical Oncology,1758-8340,1758-8359,2300,USD
Alzheimer’s Research & Therapy,,1758-9193,2390,GBP
ASN Neuro,,1759-0914,1950,USD
International Journal of Ocean and Climate Systems,1759-3131,1759-314X,900,USD
Genome Biology and Evolution,,1759-6653,1800,USD
Therapeutic Advances in Musculoskeletal Disease,1759-720X,1759-7218,2300,USD
Thoracic Cancer,1759-7706,1759-7714,2000,USD
Mobile DNA,,1759-8753,1890,GBP
International Journal for Simulation and Multidisciplinary Design Optimization,1779-627X,1779-6288,900,EUR
Journal of Biological Research - Thessaloniki,1790-045X,2241-5793,1490,GBP
MIBES Transactions,,1790-9899,60,EUR
International Journal of Economic Sciences and Applied Research,1791-5120,1791-3373,50,EUR
Journal of Innovative Optical Health Sciences,1793-5458,1793-7205,1500,USD
Aquatic Invasions,1798-6540,1818-5487,700,EUR
The International Journal on Advances in ICT for Emerging Regions,1800-4156,2550-2794,100,USD
Soil and Water Research,1801-5395,1805-9384,320,EUR
Mendel,1803-3814,2571-3701,400,EUR
Journal of Technology and Information Education,1803-537X,1803-6805,92,EUR
European Countryside,1803-8417,,95,EUR
"Scientific Papers of the University of Pardubice. Series D, Faculty of Economics and Administration",,1804-8048,5500,CZK
Journal of Landscape Ecology,,1805-4196,300,EUR
Littera Scripta,,1805-9112,150,EUR
Animal Reproduction,1806-9614,1984-3143,450,USD
Revista Brasileira de Educação Física e Esporte : RBEFE,1807-5509,1981-4690,150,BRL
Clinics,1807-5932,1980-5322,3000,BRL
Scientia Plena,,1808-2793,200,BRL
Revista de Ciências Farmacêuticas Básica e Aplicada,1808-4532,2179-443X,250,USD
Check List,,1809-127X,150,EUR
Revista de Pesquisa : Cuidado é Fundamental Online,1809-6107,2175-5361,100,BRL
Revista Brasileira de Geriatria e Gerontologia,1809-9823,1981-2256,980,BRL
Arta Medica,1810-1852,1810-1879,120,EUR
Journal of the Bangladesh Agricultural University,1810-3030,2408-8684,1500,BDT
Investment Management & Financial Innovations ,1810-4967,1812-9358,685,EUR
مجله كليه طب الكندي,1810-9543,2521-4365,100000,IQD
Studia Universitatis Moldaviae: Stiinte Umanistice,1811-2668,2345-1009,250,MDL
Ocean Science,1812-0784,1812-0792,1310,EUR
Al-Rafidain Dental Journal ,1812-1217,1998-0345,100000,IQD
مجلة التربية والعلم,1812-125X,2664-2530,150,USD
Medical Journal of Babylon,1812-156X,2312-6760,200,USD
Российский психологический журнал,1812-1853,2411-5789,470,RUB
The Islamic Culture,1813-775X,2663-1709,2500,PKR
Innovative Marketing,1814-2427,1816-6326,595,EUR
Studia Universitatis Moldaviae: Stiinte Sociale,1814-3199,2345-1017,250,MDL
Studia Universitatis Moldaviae: Stiinte reale si ale naturii,1814-3237,1857-498X,250,MDL
Радіоелектронні і комп'ютерні системи,1814-4225,2663-2012,600,UAH
Climate of the Past,1814-9324,1814-9332,1600,EUR
Lìngvìstičnì Studìï,1815-3070,2308-0019,30,USD
Mesopotamia Journal of Agriculture,1815-316X,2224-9796,100,USD
Al-Rafidain Journal of Computer Sciences and Mathematics ,1815-4816,2311-7990,100,USD
Вестник университета,1816-4277,2686-8415,320,RUB
Banks and Bank Systems,1816-7403,1991-7074,595,EUR
Botanical Studies,1817-406X,1999-3110,1370,GBP
The Journal for Transdisciplinary Research in Southern Africa,1817-4434,2415-2005,1114,ZAR
African Journal of Business Ethics,1817-7417,0976-3600,1500,ZAR
Al-Khawarizmi Engineering Journal,1818-1171,2312-0789,80,USD
Al-Qadisiyah Journal of Veterinary Medicine Sciences ,1818-5746,2313-4429,50,USD
الرافدین للحقوق,1819-1746,2664-2778,150,USD
Iraqi Journal for Mechanical and Materials Engineering,1819-2076,2313-3783,100,USD
الاكاديمي,1819-5229,2523-2029,150,IQD
Gomal Journal of Medical Sciences,1819-7973,1997-2067,8000,PKR
Acta Veterinaria,,1820-7448,120,EUR
Applied Research in Health and Social Sciences: Interface and Interaction,1822-3338,,100,EUR
Management Theory and Studies for Rural Business and Infrastructure Development,1822-6760,2345-0355,150,EUR
Journal of Engineering Science and Technology,1823-4690,,300,USD
Malaysian Journal of Microbiology,1823-8262,2231-7538,110,USD
Heart International,1826-1868,2036-2579,1900,EUR
Journal of Biological Research,1826-8838,2284-0230,180,EUR
Geospatial Health,1827-1987,1970-7096,750,EUR
Imastut'yun,1829-3824,,600,USD
Jurnal Hubungan Internasional,1829-5088,2503-3883,1700000,IDR
Jurnal Civics: Media Kajian Kewarganegaraan,1829-5789,2541-1918,1000000,IDR
Jurnal Entomologi Indonesia,1829-7722,2089-0257,2000000,IDR
Jurnal Fisika Flux,1829-796X,2541-1713,400000,IDR
Jurnal Ilmiah Pertanian,1829-8346,2502-5988,750000,IDR
Cakrawala: Jurnal Studi Islam,1829-8931,2550-0880,500000,IDR
International Journal for Educational Integrity,,1833-2595,690,GBP
Cultural Science,,1836-0416,400,GBP
Journal of Cancer,,1837-9664,2000,AUD
Theranostics,,1838-7640,2500,AUD
Journal of Genomics,,1839-9940,650,AUD
Medicinski Glasnik,1840-0132,1840-2445,250,EUR
Studii de Stiinta si Cultura,1841-1401,2067-5135,100,EUR
International Journal of Computers Communications & Control,1841-9836,1841-9844,500,EUR
Management şi Marketing,1842-0206,2069-8887,70,EUR
Digest Journal of Nanomaterials and Biostructures,,1842-3582,300,EUR
"Analele Universităţii ""Constantin Brâncuşi"" din Târgu Jiu: Seria Inginerie",1842-4856,2537-530X,100,RON
Practica Medicala,1842-8258,2069-6108,990,RON
Revista Romana de Reumatologie,1843-0791,2069-6086,990,RON
Revista Romana de Stomatologie,1843-0805,2069-6078,990,RON
Studii si Cercetari Filologice: Seria Limbi Romanice,1843-3979,2344-4851,40,EUR
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Agriculture,1843-5246,1843-5386,85,EUR
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Horticulture,1843-5254,1843-5394,85,EUR
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca. Animal Science and Biotechnologies,1843-5262,1843-536X,85,EUR
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Veterinary Medicine,1843-5270,1843-5378,85,EUR
Analele Universităţii Constantin Brâncuşi din Târgu Jiu : Seria Economie ,1844-7007,,40,EUR
"Messages, Sages and Ages",1844-8836,,70,EUR
Annals of the “Ştefan cel Mare” University: Physical Education and Sport Section - The Science and Art of Movement,1844-9131,2601-341X,150,RON
Acta Pharmaceutica,,1846-9558,450,EUR
Business Systems Research,,1847-9375,100,EUR
International Journal of Engineering Business Management,,1847-9790,1200,USD
Nanomaterials and Nanotechnology,,1847-9804,1300,USD
"Journal of Sustainable Development of Energy, Water and Environment Systems",1848-9257,,250,EUR
Journal of Circulating Biomarkers,,1849-4544,1500,EUR
Nanobiomedicine,,1849-5435,2000,USD
Revista de Geología Aplicada a la Ingeniería y al Ambiente,1851-7838,2422-5703,1620,ARS
Papers in Physics,,1852-4249,200,USD
Revista Negotium,1856-1810,,500,USD
Studia Universitatis Moldaviae: Stiinte Exacte si Economice,1857-2073,2345-1033,250,MDL
Studia Universitatis Moldaviae: Stiinte ale Educatiei,1857-2103,2345-1025,250,MDL
Journal of Liberty and International Affairs,,1857-9760,59,EUR
Tarbawi,1858-1080,2615-6547,100000,IDR
KEMAS: Jurnal Kesehatan Masyarakat,1858-1196,2355-3596,1200000,IDR
Elkha: Jurnal Teknik Elektro,1858-1463,2580-6807,350000,IDR
Geoid,1858-2281,2442-3998,60,USD
Jurnal Penyuluhan,1858-2664,2442-4110,1500000,IDR
Jurnal Ners,1858-3598,2502-5791,100,USD
Jurnal Gizi Indonesia: The Indonesian Journal of Nutrition,1858-4942,2338-3119,750000,IDR
Tạp chí Khoa học Đại học Huế: Khoa học Tự nhiên,1859-1388,2615-9678,1000000,VND
International Journal of Online Engineering (iJOE),,1861-2121,260,EUR
European Review of Aging and Physical Activity,,1861-6909,1570,GBP
International Journal of Emerging Technologies in Learning (iJET),,1863-0383,260,EUR
Journal of Children's Orthopaedics,1863-2521,1863-2548,1500,EUR
Endangered Species Research,1863-5407,1613-4796,1550,EUR
Aquatic Biology ,1864-7782,1864-7790,1550,EUR
International Journal of Emergency Medicine,1865-1372,1865-1380,1690,GBP
Landscape Online,1865-1542,,400,EUR
Genes & Nutrition,,1865-3499,2190,GBP
International Journal of Interactive Mobile Technologies,,1865-7923,260,EUR
Journal of Neurodevelopmental Disorders,1866-1947,1866-1955,1790,GBP
European Transport Research Review,1867-0717,1866-8887,1060,GBP
Atmospheric Measurement Techniques,1867-1381,1867-8548,1470,EUR
Journal of Internet Services and Applications,1867-4828,1869-0238,990,GBP
Biomolecular Concepts,1868-5021,1868-503X,1500,EUR
ALTEX: Alternatives to Animal Experimentation,,1868-596X,2000,EUR
Laboratory Phonology,,1868-6354,300,GBP
Cancer Nanotechnology,1868-6958,1868-6966,1290,GBP
Clinical Epigenetics,,1868-7083,2090,GBP
Leibniz International Proceedings in Informatics,,1868-8969,60,EUR
Aquaculture Environment Interactions,1869-215X,1869-7534,2000,EUR
Insights into Imaging,,1869-4101,1690,GBP
Journal of Ophthalmic Inflammation and Infection,,1869-5760,1140,GBP
Diabetes Therapy,,1869-6961,5250,EUR
Solid Earth,1869-9510,1869-9529,1680,EUR
Tropical and Subtropical Agroecosystems,1870-0462,,150,USD
Stem Cell Research,1873-5061,1876-7753,2100,USD
International Journal of Gerontology,1873-9598,,700,USD
International Journal of the Commons,,1875-0281,870,EUR
Journal of Men's Health,,1875-6859,900,USD
International Journal of Computational Intelligence Systems ,1875-6891,1875-6883,850,EUR
Journal of Infection and Public Health,1876-0341,1876-035X,1250,USD
Arabian Journal of Chemistry,1878-5352,,1250,USD
Developmental Cognitive Neuroscience,1878-9293,1878-9307,2750,USD
Journal of Physiological Anthropology,1880-6791,1880-6805,1270,GBP
Genes and Environment,,1880-7062,1570,GBP
Inflammation and Regeneration,,1880-8190,1485,GBP
Journal of Clinical and Experimental Hematopathology,,1880-9952,120000,JPY
Nihon Kekkan Geka Gakkai Zasshi,,1881-767X,10000,JPY
Hydrological Research Letters,,1882-3416,55000,JPY
JNET,1882-4072,2186-2494,20000,JPY
NPG Asia Materials,,1884-4057,2690,GBP
"ACE: Architecture, City and Environment",,1886-4805,200,EUR
Revista Española de Cirugía Ortopédica y Traumatología,1888-4415,1988-8856,1250,EUR
Etikk i Praksis: Nordic Journal of Applied Ethics,1890-3991,1890-4009,6500,NOK
Arctic Review on Law and Politics,1891-6252,2387-4562,12500,NOK
Advances in Cognitive Psychology,1895-1171,,300,EUR
Applied Computer Science,1895-3735,2353-6977,100,EUR
Journal of Machine Engineering,1895-7595,,1002,PLN
Bezpieczeństwo i Technika Pożarnicza,1895-8443,,800,PLN
Periodyk Naukowy Akademii Polonijnej,1895-9911,2543-8204,40,EUR
Transport Problems,1896-0596,2300-861X,300,EUR
Ekonomiczne Problemy Usług,1896-382X,2353-2866,590,PLN
Hereditary Cancer in Clinical Practice,,1897-4287,1790,GBP
Cardiology Journal,1897-5593,1898-018X,900,USD
Studia Medyczne,1899-1874,2300-6722,100,EUR
Polish Journal of Chemical Technology,,1899-4741,325,EUR
Wildlife Biology,,1903-220X,700,EUR
Maejo International Journal of Science and Technology,1905-7873,,200,USD
"Journal of Education, Mahasarakham University",1905-9922,,4000,THB
EnvironmentAsia,1906-1714,,300,USD
Al-Adabiya: Jurnal Kebudayaan dan Keagamaan,1907-1191,2540-9204,300000,IDR
Jurnal Peternakan Indonesia,1907-1760,2460-6626,450000,IDR
Profesi (Profesional Islam): Media Publikasi Penelitian,1907-512X,2548-9933,300000,IDR
Jurnal Ilmu Keluarga dan Konsumen,1907-6037,2502-3594,1000000,IDR
Qalamuna,1907-6355,2656-9779,300000,IDR
Kesmas: Jurnal Kesehatan Masyarakat Nasional,1907-7505,2460-0601,450,USD
Jurnal Studi Pemerintahan,1907-8374,2337-8220,150,USD
Molekul,1907-9761,2503-0310,1250000,IDR
Journal of Risk and Financial Management,1911-8066,1911-8074,1200,CHF
Journal of Otolaryngology - Head and Neck Surgery,,1916-0216,1790,GBP
Ideas in Ecology and Evolution,,1918-3178,200,CAD
OIDA International Journal of Sustainable Development,1923-6654,1923-6662,250,USD
International Journal of Alcohol and Drug Research,,1925-7066,600,USD
Journal of Parkinsonism and Restless Legs Syndrome,,1927-7733,1780,USD
Interactive Journal of Medical Research,,1929-073X,1750,USD
JMIR Research Protocols,,1929-0748,1900,USD
Radiology Case Reports,,1930-0433,500,USD
BioResources,,1930-2126,1452,USD
Nanoscale Research Letters,1931-7573,1556-276X,1690,GBP
PLoS ONE,,1932-6203,1795,USD
Clinical Cardiology,,1932-8737,2100,EUR
Prion,1933-6896,1933-690X,1950,USD
Cell Adhesion & Migration,1933-6918,1933-6926,1950,USD
Channels,1933-6950,1933-6969,1950,USD
Fire Ecology,,1933-9747,1290,GBP
Natural Product Communications,1934-578X,1555-9475,2000,USD
International Journal of Agricultural and Biological Engineering,1934-6344,1934-6352,1000,USD
PLoS Neglected Tropical Diseases,1935-2727,1935-2735,2420,USD
Brain Stimulation,1935-861X,1876-4754,3310,USD
Evolution: Education and Outreach,1936-6426,1936-6434,1390,GBP
Western Journal of Emergency Medicine,1936-900X,1936-9018,500,USD
Journal of Transport and Land Use,,1938-7849,750,USD
Security and Communication Networks,1939-0114,1939-0122,2100,USD
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2151-1535,1250,USD
World Allergy Organization Journal,,1939-4551,2300,USD
Rice,1939-8425,1939-8433,1790,GBP
Addiction Science & Clinical Practice,1940-0632,1940-0640,1790,GBP
Tropical Conservation Science,,1940-0829,1000,USD
The Plant Genome,,1940-3372,2400,EUR
Lithosphere,1941-8264,1947-4253,2750,USD
mAbs,1942-0862,1942-0870,2950,USD
Communicative & Integrative Biology,,1942-0889,1950,USD
Oxidative Medicine and Cellular Longevity,1942-0900,1942-0994,2300,USD
Journal of Advances in Modeling Earth Systems,,1942-2466,1500,USD
Marine and Coastal Fisheries,,1942-5120,1800,USD
IEEE Photonics Journal,,1943-0655,1820,USD
Journal of Integrative Environmental Sciences,1943-815X,1943-8168,770,GBP
Standards in Genomic Sciences,,1944-3277,1165,GBP
Translational Oncology,1944-7124,1936-5233,2300,USD
Online Journal of Public Health Informatics,,1947-2579,350,USD
International Journal of Smart and Nano Materials,1947-5411,1947-542X,1200,USD
"Geomatics, Natural Hazards & Risk",1947-5705,1947-5713,1500,USD
CyTA - Journal of Food,1947-6337,1947-6345,1200,USD
Frontiers of Biogeography,,1948-6596,300,USD
Gut Microbes,1949-0976,1949-0984,2950,USD
Nucleus,1949-1034,1949-1042,1950,USD
Water Alternatives,,1965-0175,350,EUR
Oncology Reviews,1970-5565,1970-5557,1250,EUR
Conservation Science in Cultural Heritage,1974-4951,1973-9494,312,EUR
Journal of Agricultural Engineering,1974-7071,2239-6268,300,EUR
Chemical Engineering Transactions,1974-9791,2283-9216,500,EUR
Journal of Preventive Medicine and Public Health,1975-8375,2233-4521,280000,KRW
Journal of the Korean Medical Association,1975-8456,2093-5951,100000,KRW
International Journal of Concrete Structures and Materials,1976-0485,2234-1315,1190,GBP
Asian Nursing Research,1976-1317,,1000,USD
BMB Reports,1976-6696,1976-670X,550,USD
Animal Cells and Systems,1976-8354,2151-2485,1500,USD
Clinical and Experimental Otorhinolaryngology,1976-8710,2005-0720,300,USD
Jurnal Sosiologi Reflektif,1978-0362,2528-4177,1500000,IDR
Issues in Social and Environmental Accounting,1978-0591,2460-6081,100,USD
Jurnal Gizi dan Pangan,1978-1059,2407-0920,120,USD
IJCCS (Indonesian Journal of Computing and Cybernetics Systems),1978-1520,2460-7258,200000,IDR
Prokons,1978-1784,2714-8815,200000,IDR
Jurnal Ilmiah Kedokteran Wijaya Kusuma,1978-2071,2580-5967,400000,IDR
Cendekia: Jurnal Pendidikan dan Pembelajaran,1978-2098,2407-8557,400000,IDR
Jurnal Kedokteran Hewan,1978-225X,,750000,IDR
Jurnal Rekayasa Proses,1978-287X,2549-1490,1000000,IDR
Bulletin of Chemical Reaction Engineering & Catalysis,1978-2993,,100,USD
Jurnal Sain Peternakan Indonesia,1978-3000,2528-7109,550000,IDR
Hayati Journal of Biosciences,1978-3019,2086-4094,200,USD
ITB Journal of Engineering Science,1978-3051,,150,USD
ITB Journal of Information and Communication Technology,1978-3086,,150,USD
Dental Journal: Majalah Kedokteran Gigi,1978-3728,2442-9740,500000,IDR
Al-Kauniyah Jurnal Biologi,1978-3736,,1000000,IDR
Rekayasa Sipil,1978-5658,2502-6348,350000,IDR
Jurnal Riset Kimia,1978-628X,2476-8960,1000000,IDR
Derivatif,1978-6573,2477-300X,350000,IDR
Akuisisi,1978-6581,2477-2984,300000,IDR
Tawazun,1978-6786,2654-5845,350000,IDR
Profit: Jurnal Administrasi Bisnis,1978-743X,2338-4654,500000,IDR
Lingua Cultura,1978-8118,2460-710X,2000000,IDR
Padjadjaran Journal of Dentistry,1979-0201,2549-6212,1250000,IDR
Lingua Didaktika: Jurnal Bahasa dan Pembelajaran Bahasa,1979-0457,2541-0075,250000,IDR
Biospecies,1979-0902,,350000,IDR
CommIT Journal,1979-2484,,1000000,IDR
Jurnal Berita Ilmu Keperawatan,1979-2697,2721-1797,30,USD
Lentera Pendidikan: Jurnal Ilmu Tarbiyah dan Keguruan,1979-3472,2580-5223,500000,IDR
Jurnal Manajemen Teori dan Terapan,1979-3650,2548-2149,35,USD
Media Statistika,1979-3693,2477-0647,500000,IDR
JIF (Jurnal Ilmu Fisika),1979-4657,2614-7386,450000,IDR
Jurnal Ekonomi dan Bisnis,1979-6471,2528-0147,1000000,IDR
Komunikator,1979-6765,2549-9246,1500000,IDR
Jurnal Riset Akuntansi Terpadu,1979-682X,2528-7443,100000,IDR
Jurnal Kesehatan,1979-7621,,250000,IDR
Jurnal Teknologi dan Industri Pangan,1979-7788,2087-751X,100000000,IDR
Educare,1979-7877,2621-587X,150,USD
Register Journal,1979-8903,2503-040X,1500000,IDR
"Lingua: Jurnal Bahasa, Sastra dan Pengajarannya",1979-9411,2442-238X,400000,IDR
Revista Ambiente & Água,,1980-993X,225,USD
Brazilian Political Science Review,,1981-3821,2400,BRL
Acta Veterinaria Brasilica,,1981-5484,300,BRL
Brazilian Journal of Food Technology ,,1981-6723,400,BRL
Revista Brasileira de Engenharia de Biossistemas,1981-7061,2359-6724,100,BRL
Pubvet,,1982-1263,400,BRL
Agro@mbiente On-line,,1982-8470,225,BRL
EntomoBrasilis,,1983-0572,300,BRL
Revista Brasileira de Geografia Física,1984-2295,,200,BRL
Zoologia (Curitiba),1984-4670,1984-4689,450,EUR
Malaysian Orthopaedic Journal,1985-2533,2232-111X,60,USD
Journal of Human Sport and Exercise,,1988-5202,200,EUR
Prisma Social,1989-3469,,50,EUR
Management of Biological Invasions,,1989-8649,960,USD
Journal of the European Optical Society-Rapid Publications,,1990-2573,1480,GBP
